Chain,DeFi Application,Transaction Hash
ETH,AAVE V2,0xc2f89dd82c6c336a4f5c51d8bb7467bb8c273a593f6d40445d4651d738549919
BSC,BiSwap,0x4a94a23ce5cc2c1904cdf57a454b5498d3573111790f68ec04300ea11954584b
ETH,Uniswap V3,0x9807f7b77e35c8b32010485eafc5a89f820b4ece55f0d1e2d8da48846f3b2869
ETH,Alchemix,0xb9ff76f1dab5803b673138bf3e4b9a51c7a32a42da70ac833b829bfbadec2080
ETH,SingularityDAO,0x0a9255e5512d73908bf12c4ba19be624e721375d36165655c0e75867a9c6479f
ETH,Inverse Finance FiRM,0x513a696a16fdf3d8996843b8b8fcf8ec598f439b5895e89ae99af04eadea4d2a
ETH,Yearn Finance,0x81adb7420e860dc9910f2e4c36dd97fa44d9c806db991492cae0c01df47f3f67
ETH,Synthetix,0x622e8ee5d01b962e0ddefcdba5ff8b1bc6f6e32e6c02e269609e7d8c4c38bc9a
ETH,Gearbox,0x92ce9b7e86f33da3f81b7ba5b571a4f81c4025a08cbb1ee4e8049543caf6bea3
ETH,ShibaSwap,0x82a9af0321f5fb0ce59f27b0adc922fed42c20661a884f7552eb9c63d3d66c9b
ETH,WBTC,0xfd75ec9cb3bd2d02f8d0cd2d5e7ec9ad28af5bc3141b8f2f9b9277abab0299e7
ETH,AAVE V2,0xc6a0385c55b769cef9ad8707a02f23d4736c0c6f9602aa67267cd8d4ac8d2e91
BSC,Bitgert,0xb1db113065c98a50021c676e3c46c5bffae52daf87212d3e2ef29c33c7c745fd
BSC,TaiChi,0x22de38b9a95a771c08e4007c13910097e6271bdf56c92e82d06b6c3f72df7f02
ETH,Erasure,0xc61462a1c0584cd04955fa257c4924c535a9f82f5c68720a41cfef62ad571526
ETH,Yearn Finance,0xe262cf70a6e9a4ce68e0c25d8644cb41f151d880429818b8deb7690576b8d15d
BSC,BiSwap,0xa60b82022b41a21b4f1a6a12e54efa7d06b70bc25859d0cc282684b6f5bfb208
ETH,AAVE V2,0x0fbeea9de119b46d0a71df9e74267e7aa0f6f4f1c1596542d9a76cfaf272b0c8
